ST_FIPS,state,city_name,url
100124,Alabama,Abbeville,www.cityofabbeville.org
100820,Alabama,Alabaster,www.cityofalabaster.com
100988,Alabama,Albertville,www.cityofalbertville.com
101132,Alabama,Alexander City,alexandercityal.gov
101708,Alabama,Andalusia,www.cityofandalusia.com
101852,Alabama,Anniston,www.annistonal.gov
102116,Alabama,Arab,www.arabcity.org
102956,Alabama,Athens city,www.athensalabama.us
103004,Alabama,Atmore city,cityofatmore.com
103028,Alabama,Attalla,www.attallacity.com
103076,Alabama,Auburn,www.auburnalabama.org
103220,Alabama,Autaugaville,autaugavilleal.com
104660,Alabama,Bay Minette,www.cityofbayminette.org
104684,Alabama,Bayou La Batre,cityofbayoulabatre.com
105980,Alabama,Bessemer,www.bessemeral.org
107000,Alabama,Birmingham,www.birminghamal.gov
107912,Alabama,Boaz,www.cityofboaz.org
109136,Alabama,Brent city,www.cityofbrentalabama.com
109208,Alabama,Brewton,www.cityofbrewton.org
109400,Alabama,Brighton,www.brighton-alabama.com
109424,Alabama,Brilliant,www.brilliantal.org
109736,Alabama,Brookside town,www.brooksidealabama.com
109808,Alabama,Brookwood,www.brookwoodalabama.com
110240,Alabama,Brundidge,www.brundidge.org
111416,Alabama,Calera city,cityofcalera.org
113264,Alabama,Center Point,www.thecityofcenterpoint.org
113648,Alabama,Centre,www.cityofcentre.com
113672,Alabama,Centreville,cityofcentreville.com
114008,Alabama,Chatom,www.chatom.org
114104,Alabama,Chelsea,www.cityofchelsea.com
114152,Alabama,Cherokee town,www.welcometocherokeeal.org
114464,Alabama,Childersburg,www.childersburg.org
115136,Alabama,Clanton,www.clanton.al.us
115256,Alabama,Clay city,www.clayalabama.org
115376,Alabama,Clayton town,claytonal.wordpress.com
116768,Alabama,Columbiana,www.cityofcolumbiana.com
119336,Alabama,Dadeville,cityofdadevilleal.org
119360,Alabama,Daleville,www.dalevilleal.com
119648,Alabama,Daphne,www.daphneal.com
119744,Alabama,Dauphin Island,townofdauphinisland.org
120104,Alabama,Decatur,www.decaturalabamausa.com
120296,Alabama,Demopolis city,www.demopolisal.gov
121136,Alabama,Dora,www.cityofdora.com
121184,Alabama,Dothan,www.dothan.org
122816,Alabama,Eclectic,www.townofeclectic.com
123296,Alabama,Elba,www.elbaalabama.net
123320,Alabama,Elberta,www.townofelberta.com
124256,Alabama,Epes,www.cityofepesalabama.com
124568,Alabama,Eufaula,eufaulaalabama.com
124808,Alabama,Evergreen,www.evergreenal.org
125120,Alabama,Fairfield,fairfieldal.org
125240,Alabama,Fairhope,www.cofairhope.com
125840,Alabama,Fayette,fayetteal.org
126896,Alabama,Florence,www.florenceal.org
126992,Alabama,Foley,www.cityoffoley.org
127520,Alabama,Fort Deposit,townoffortdeposit.com
127616,Alabama,Fort Payne,fortpayne.org
128552,Alabama,Fultondale,www.cityoffultondale.com
128672,Alabama,Fyffe,www.fyffecitylimits.com
128696,Alabama,Gadsden city,www.cityofgadsden.com
128936,Alabama,Gantt,www.townofgantt.com
129608,Alabama,Geraldine,geraldinealabama.com
129992,Alabama,Glencoe,www.cityofglencoe.net
131096,Alabama,Grant,www.grantal.org
131912,Alabama,Greenville,www.greenville-alabama.com
132080,Alabama,Grove Hill,grovehillal.com
132224,Alabama,Guin,www.guinal.org
132272,Alabama,Gulf Shores,www.gulfshoresal.gov
132416,Alabama,Guntersville,guntersvilleal.org
132440,Alabama,Gurley town,www.townofgurleyal.com
132848,Alabama,Hamilton,www.cityofhamilton.org
132968,Alabama,Hanceville,cityofhanceville.net
133256,Alabama,Harpersville,www.townofharpersville.com
133424,Alabama,Hartford,www.cityofhartfordal.org
133448,Alabama,Hartselle city,www.hartselle.org
133856,Alabama,Headland city,www.headlandalabama.org
133976,Alabama,Heflin,www.cityofheflin.org
134096,Alabama,Henagar city,cityofhenagar.com
134816,Alabama,Hillsboro town,www.hillsborotx.org
135152,Alabama,Hobson City,www.townofhobsoncity.com
135392,Alabama,Hokes Bluff,cityofhokesbluff.com
135800,Alabama,Homewood,www.homewoodal.net
135896,Alabama,Hoover city,www.hooveral.org
136448,Alabama,Hueytown,www.hueytownal.org
137000,Alabama,Huntsville,www.huntsvilleal.gov
137465,Alabama,Indian Springs Village city,www.indianspringsvillage.org
137864,Alabama,Irondale,cityofirondaleal.gov
138152,Alabama,Jackson,cityofjacksonal.com
138272,Alabama,Jacksonville,www.jacksonville-al.org
139784,Alabama,Killen town,killenal.org
139856,Alabama,Kimberly,www.kimberlyal.org
140672,Alabama,La Fayette city,cityoflafayetteal.com
141968,Alabama,Leeds,www.leedsalabama.gov
142640,Alabama,Lexington,www.lexingtonal.org
143120,Alabama,Lincoln,www.lincolnalabama.com
143240,Alabama,Linden city,lindenalabama.net
144608,Alabama,Loxley,www.townofloxley.org
144728,Alabama,Luverne city,www.luverne.org
145472,Alabama,McIntosh,mcintoshalabama.com
145784,Alabama,Madison,www.madisonal.gov
146072,Alabama,Magnolia Springs,www.townofmagnoliasprings.org
146768,Alabama,Marion,www.marionalabama.org
148376,Alabama,Midfield city,www.cityofmidfield.com
150000,Alabama,Mobile,www.cityofmobile.org
150192,Alabama,Monroeville,www.cityofmonroeville.com
150312,Alabama,Montevallo,www.cityofmontevallo.com
151000,Alabama,Montgomery,www.montgomeryal.gov
151096,Alabama,Moody,www.moodyalabama.gov
151696,Alabama,Mountain Brook,www.mtnbrook.org
152608,Alabama,Mount Vernon,www.mtvernonal.com
153016,Alabama,Muscle Shoals city,www.cityofmuscleshoals.com
155200,Alabama,Northport city,www.cityofnorthport.org
155440,Alabama,Notasulga,www.notasulgaal.com
156400,Alabama,Odenville town,www.cityofodenville.net
157000,Alabama,Oneonta,www.cityofoneonta.us
157048,Alabama,Opelika,www.opelika.org
157144,Alabama,Orange Beach,www.orangebeachal.gov
157576,Alabama,Oxford,www.oxfordalabama.org
157648,Alabama,Ozark,www.ozarkalabama.org
158848,Alabama,Pelham,www.pelhamonline.com
158896,Alabama,Pell City,pell-city.com
159472,Alabama,Phenix City city,phenixcityal.us
159496,Alabama,Phil Campbell,www.philcampbellal.com
159640,Alabama,Piedmont,www.piedmontcity.org
159760,Alabama,Pike Road,www.pikeroad.us
160648,Alabama,Pinson,thecityofpinson.com
161008,Alabama,Pleasant Grove,www.cityofpg.com
162328,Alabama,Prattville,www.prattvilleal.gov
162496,Alabama,Prichard,www.thecityofprichard.org
163288,Alabama,Rainbow City city,www.rbcalabama.com
163336,Alabama,Rainsville city,www.rainsvillealabama.com
163576,Alabama,Red Bay,www.cityofredbay.org
164152,Alabama,Rehobeth town,rehobethalabama.com
164920,Alabama,Riverside,www.riverside-al.com
165040,Alabama,Roanoke,roanokealabama.org
165208,Alabama,Robertsdale,www.robertsdale.org
165472,Alabama,Rockford,www.rockfordalabama.net
166216,Alabama,Rogersville,www.rogersvillealabama.com
167056,Alabama,Russellville city,www.russellvilleal.org
167536,Alabama,St. Florian,www.stflorianalabama.com
168160,Alabama,Saraland city,saraland.org
168352,Alabama,Satsuma,www.cityofsatsuma.com
168736,Alabama,Scottsboro,www.cityofscottsboro.com
169120,Alabama,Selma,www.selma-al.gov
169648,Alabama,Sheffield,www.sheffieldalabama.org
170128,Alabama,Shorter,www.shorteralabama.com
171040,Alabama,Slocomb,www.slocombal.com
171496,Alabama,Somerville,www.townofsomerville.org
172600,Alabama,Springville,www.springvillealabama.org
173080,Alabama,Stevenson city,www.cityofstevensonalabama.com
173848,Alabama,Sumiton,www.thecityofsumiton.com
174352,Alabama,Sylacauga city,sylacauga.net
174424,Alabama,Sylvan Springs,www.sylvanspringsal.com
174592,Alabama,Talladega,www.talladega.com
174688,Alabama,Tallassee,www.tallassee.al.us
175960,Alabama,Thomasville,www.thomasvilleal.com
176920,Alabama,Troy city,www.troyal.gov
176944,Alabama,Trussville,trussville.org
177256,Alabama,Tuscaloosa,www.tuscaloosa.com
177280,Alabama,Tuscumbia,cityoftuscumbia.org
177304,Alabama,Tuskegee city,www.tuskegeealabama.gov
177880,Alabama,Union Springs,www.unionspringsalabama.com
177904,Alabama,Uniontown,www.uniontownal.org
178204,Alabama,Valley,www.cityofvalley.com
178552,Alabama,Vestavia Hills,vhal.org
179008,Alabama,Vincent town (pt.),townofvincent.com
180256,Alabama,Waverly,www.waverlyalabama.com
180496,Alabama,Wedowee town,wedowee.alabama.com
181504,Alabama,Westover,www.westoveralabama.org
181720,Alabama,Wetumpka,www.cityofwetumpka.com
181912,Alabama,White Hall town,www.whitehallwater.com
182992,Alabama,Winfield,www.winfieldcity.org
200065,Alaska,Adak,adak-ak.us
202275,Alaska,Wrangell City and Borough,www.wrangell.com
203000,Alaska,Anchorage,www.muni.org
203220,Alaska,Anderson,www.anderson.govoffice.com
205200,Alaska,Utqia!vik,www.cityofbarrow.org
206520,Alaska,Bethel,www.cityofbethel.org
209600,Alaska,Deering,nana.com
216360,Alaska,Coffman Cove,ccalaska.com
217740,Alaska,Craig,www.craigak.com
218620,Alaska,Delta Junction,deltajunction.us
218950,Alaska,Dillingham,www.ci.dillingham.ak.us
220970,Alaska,Edna Bay,ednabayalaska.net
224230,Alaska,Fairbanks,co.fairbanks.ak.us
227530,Alaska,Galena,www.ci.galena.ak.us
230940,Alaska,Gustavus,cms.gustavus-ak.gov
233140,Alaska,Homer city,cityofhomer-ak.gov
233360,Alaska,Hoonah,www.cityofhoonah.org
233800,Alaska,Houston,www.houstonak.com
236990,Alaska,Kaktovik,www.asrc.com
237430,Alaska,Kaltag,www.ganaayoo.com
238420,Alaska,Kenai,www.ci.kenai.ak.us
238970,Alaska,Ketchikan city,ktn-ak.us
239410,Alaska,King Cove,www.cityofkingcove.com
239960,Alaska,Kivalina,www.kivalinacity.com
240400,Alaska,Klawock,www.cityofklawock.com
240950,Alaska,Kodiak,www.city.kodiak.ak.us
241830,Alaska,Kotzebue,www.cityofkotzebue.com
254920,Alaska,Nome,www.nomealaska.org
255910,Alaska,North Pole,www.northpolealaska.com
258660,Alaska,Palmer,www.cityofpalmer.org
267020,Alaska,Sand Point,www.sandpointak.com
268340,Alaska,Seldovia,www.seldoviachamber.org
268560,Alaska,Seward,www.cityofseward.us
270540,Alaska,Sitka,www.cityofsitka.com
271640,Alaska,Soldotna,www.ci.soldotna.ak.us
276260,Alaska,Tenakee Springs,www.tenakeespringsak.com
280660,Alaska,Unalakleet,www.kawerak.org
282200,Alaska,Valdez city,ci.valdez.ak.us
283080,Alaska,Wasilla,www.cityofwasilla.com
284510,Alaska,Whittier,www.whittieralaska.gov
286380,Alaska,Wrangell,www.wrangell.com
402830,Arizona,Apache Junction,www.ajcity.net
404720,Arizona,Avondale,avondale.org
405770,Arizona,Benson,www.cityofbenson.com
406260,Arizona,Bisbee,www.cityofbisbee.com
407940,Arizona,Buckeye,www.buckeyeaz.gov
408220,Arizona,Bullhead City,www.bullheadcity.com
409690,Arizona,Camp Verde,www.campverde.az.gov
410180,Arizona,Carefree town,www.carefree.org
410530,Arizona,Casa Grande,casagrandeaz.gov
411300,Arizona,Cave Creek,www.cavecreek.org
412000,Arizona,Chandler city,www.chandleraz.gov
412840,Arizona,Chino Valley,www.chinoaz.net
413890,Arizona,Clarkdale town,www.clarkdale.az.gov
415500,Arizona,Coolidge city,www.coolidgeaz.com
416410,Arizona,Cottonwood city,cottonwoodaz.gov
419145,Arizona,Dewey-Humboldt,www.dhaz.gov
420050,Arizona,Douglas city,www.douglasaz.org
420750,Arizona,Duncan town,www.townofduncan.us
420960,Arizona,Eagar,www.eagaraz.gov
422220,Arizona,El Mirage,www.cityofelmirage.org
422360,Arizona,Eloy,www.eloyaz.org
423620,Arizona,Flagstaff,www.flagstaff.az.gov
423760,Arizona,Florence,www.florenceaz.gov
425300,Arizona,Fountain Hills,www.fh.az.gov
425720,Arizona,Fredonia,www.fredoniaaz.net
427050,Arizona,Gila Bend,www.gilabendaz.org
427400,Arizona,Gilbert,www.gilbertaz.gov
427820,Arizona,Glendale city,www.glendaleaz.com
